"p","w","t"
"0.65","44","1570"
"0.65","45","1690"
"0.65","46","1850"
"0.65","47","1680"
"0.65","48","2110"
"0.65","49","1850"
"0.7000000000000001","2","50"
"0.7000000000000001","3","30"
"0.7000000000000001","4","270"
"0.7000000000000001","5","370"
"0.7000000000000001","6","280"
"0.7000000000000001","7","230"
"0.7000000000000001","8","630"
"0.7000000000000001","9","420"
"0.7000000000000001","10","830"
"0.7000000000000001","11","450"
"0.7000000000000001","12","410"
"0.7000000000000001","13","550"
"0.7000000000000001","14","770"
"0.7000000000000001","15","910"
"0.7000000000000001","16","1020"
"0.7000000000000001","17","780"
"0.7000000000000001","18","870"
"0.7000000000000001","19","1250"
"0.7000000000000001","20","880"
"0.7000000000000001","21","910"
"0.7000000000000001","22","1220"
"0.7000000000000001","23","1490"
"0.7000000000000001","24","1090"
"0.7000000000000001","25","1550"
"0.7000000000000001","26","1190"
"0.7000000000000001","27","1370"
"0.7000000000000001","28","1630"
"0.7000000000000001","29","1290"
"0.7000000000000001","30","1360"
"0.7000000000000001","31","1720"
"0.7000000000000001","32","2380"
"0.7000000000000001","33","1640"
"0.7000000000000001","34","1200"
"0.7000000000000001","35","1460"
"0.7000000000000001","36","1700"
"0.7000000000000001","37","1850"
"0.7000000000000001","38","2280"
"0.7000000000000001","39","1360"
"0.7000000000000001","40","2010"
"0.7000000000000001","41","2200"
"0.7000000000000001","42","2490"
"0.7000000000000001","43","2420"
"0.7000000000000001","44","2100"
"0.7000000000000001","45","2130"
"0.7000000000000001","46","2200"
"0.7000000000000001","47","2930"
"0.7000000000000001","48","2780"
"0.7000000000000001","49","2680"
"0.7500000000000001","2","210"
"0.7500000000000001","3","290"
"0.7500000000000001","4","120"
"0.7500000000000001","5","250"
"0.7500000000000001","6","470"
"0.7500000000000001","7","250"
"0.7500000000000001","8","520"
"0.7500000000000001","9","870"
"0.7500000000000001","10","900"
"0.7500000000000001","11","340"
"0.7500000000000001","12","770"
"0.7500000000000001","13","920"
"0.7500000000000001","14","730"
"0.7500000000000001","15","860"
"0.7500000000000001","16","840"
"0.7500000000000001","17","1300"
"0.7500000000000001","18","1110"
"0.7500000000000001","19","1240"
"0.7500000000000001","20","1110"
"0.7500000000000001","21","1760"
"0.7500000000000001","22","1340"
"0.7500000000000001","23","2140"
"0.7500000000000001","24","1340"
"0.7500000000000001","25","1460"
"0.7500000000000001","26","1680"
"0.7500000000000001","27","1560"
"0.7500000000000001","28","1780"
"0.7500000000000001","29","2060"
"0.7500000000000001","30","1270"
"0.7500000000000001","31","2460"
"0.7500000000000001","32","1980"
"0.7500000000000001","33","2030"
"0.7500000000000001","34","2280"
"0.7500000000000001","35","2720"
"0.7500000000000001","36","2660"
"0.7500000000000001","37","1790"
"0.7500000000000001","38","3030"
"0.7500000000000001","39","2990"
"0.7500000000000001","40","3740"
"0.7500000000000001","41","2490"
